main/aqi,components/co,components/no,components/no2,components/o3,components/so2,components/pm2_5,components/pm10,components/nh3,dt,,
4,527.38,5.53,9.25,1.7,3.1,34.99,40.49,9.12,1606266000,25-11-2020 ,1:00:00
4,660.9,13.52,9.43,7.06,3.99,40.05,46.71,8.61,1606269600,25-11-2020 ,2:00:00
4,847.82,19,17.31,18.42,4.77,47.69,55.28,9.63,1606273200,25-11-2020 ,3:00:00
3,383.85,1.2,5.23,83.69,4.41,21.65,23.39,2.72,1606276800,25-11-2020 ,4:00:00
3,357.15,0.55,2.96,98.71,4.35,20.88,22.28,2.57,1606280400,25-11-2020 ,5:00:00
3,337.12,0.34,2.06,103,4.11,20.09,21.29,2.38,1606284000,25-11-2020 ,6:00:00
3,387.19,0.65,4.16,108.72,5.72,23.92,25.54,4.18,1606287600,25-11-2020 ,7:00:00
4,500.68,1.08,8.14,127.32,8.23,33.86,36.41,7.28,1606291200,25-11-2020 ,8:00:00
4,614.17,1.24,12.51,141.62,10.85,44.12,47.52,10.13,1606294800,25-11-2020 ,9:00:00
5,801.09,1.36,23.99,127.32,12.28,58.06,62.97,15.07,1606298400,25-11-2020 ,10:00:00
5,1041.41,0.34,42.16,70.1,10.61,73.25,80.14,17.73,1606302000,25-11-2020 ,11:00:00
5,1241.68,0.69,58.95,17.17,8.23,82.42,90.94,17.48,1606305600,25-11-2020 ,12:00:00
5,1188.28,10.39,47.98,0.31,5.84,73.62,82.73,13.55,1606309200,25-11-2020 ,13:00:00
5,1054.76,19.22,29.47,0.01,5.42,62.55,72.36,10.77,1606312800,25-11-2020 ,14:00:00
5,988.01,22.13,20.05,0,6.02,57.33,68.55,11.53,1606316400,25-11-2020 ,15:00:00
5,934.6,22.13,15.77,0,6.97,55.2,67.36,14.82,1606320000,25-11-2020 ,16:00:00
5,867.84,20.34,13.37,0.01,7.27,51.84,63.88,16.72,1606323600,25-11-2020 ,17:00:00
4,747.68,16.99,12.68,0.02,6.32,44.66,55.42,16.97,1606327200,25-11-2020 ,18:00:00
4,660.9,14.53,12.68,0.02,5.13,39.55,48.92,17.48,1606330800,25-11-2020 ,19:00:00
4,607.49,11.62,12.17,0.04,4.23,37.72,46.17,16.21,1606334400,25-11-2020 ,20:00:00
4,554.09,8.38,11.31,0.1,3.34,35.87,43.22,13.17,1606338000,25-11-2020 ,21:00:00
4,500.68,5.14,10.88,0.34,2.68,33.43,39.62,10.51,1606341600,25-11-2020 ,22:00:00
4,480.65,3.27,10.97,0.69,2.56,32.51,38.01,9.63,1606345200,25-11-2020 ,23:00:00
4,494,3.19,11.14,0.76,2.77,33.6,39.04,9.5,1606348800,26-11-2020 ,0:00:00
4,527.38,5.14,11.14,0.83,3.01,34.6,40.17,8.23,1606352400,26-11-2020 ,1:00:00
4,680.92,14.31,10.54,2.73,4.05,40.39,47.18,7.98,1606356000,26-11-2020 ,2:00:00
4,894.55,24.14,15.59,8.58,4.89,48.44,56.47,9.37,1606359600,26-11-2020 ,3:00:00
3,397.21,1.73,7.11,75.82,5.25,22.81,24.78,3.14,1606363200,26-11-2020 ,4:00:00
3,387.19,0.91,5.01,101.57,6.08,24.42,26.25,3.52,1606366800,26-11-2020 ,5:00:00
4,373.84,0.5,3.38,117.3,6.08,25.21,26.89,3.48,1606370400,26-11-2020 ,6:00:00
3,360.49,0.45,3.04,107.29,5.31,22.91,24.36,3.29,1606374000,26-11-2020 ,7:00:00
3,397.21,0.66,5.14,110.15,6.68,24.98,26.68,4.62,1606377600,26-11-2020 ,8:00:00
4,447.27,0.74,8.48,113.01,8.35,28.16,30.19,6.33,1606381200,26-11-2020 ,9:00:00
4,620.84,0.68,22.96,82.25,9.42,36.35,39.87,11.78,1606384800,26-11-2020 ,10:00:00
4,881.2,0.25,43.18,33.26,8.46,48.71,54.21,15.58,1606388400,26-11-2020 ,11:00:00
5,1108.17,6.04,52.78,2.71,7.15,58.81,65.93,16.21,1606392000,26-11-2020 ,12:00:00
5,1094.82,19,37.36,0.02,5.54,55.58,63.17,13.43,1606395600,26-11-2020 ,13:00:00
5,988.01,24.14,24.33,0.01,6.02,50.75,59.16,12.79,1606399200,26-11-2020 ,14:00:00
5,947.95,24.81,18.68,0,7.87,50.02,59.97,16.97,1606402800,26-11-2020 ,15:00:00
5,934.6,23.92,17.14,0,10.37,51.52,62.64,24.32,1606406400,26-11-2020 ,16:00:00
4,881.2,21.46,15.94,0.01,10.85,49.78,61.16,27.11,1606410000,26-11-2020 ,17:00:00
4,747.68,17.21,14.91,0.02,8.7,42.52,52.87,24.32,1606413600,26-11-2020 ,18:00:00
4,640.87,13.52,14.74,0.04,6.5,36.16,45.01,22.04,1606417200,26-11-2020 ,19:00:00
4,580.79,10.17,14.4,0.09,5.42,33.84,41.65,21.03,1606420800,26-11-2020 ,20:00:00
4,540.73,7.1,13.54,0.19,4.65,32.48,39.6,19.25,1606424400,26-11-2020 ,21:00:00
4,494,4.47,12.34,0.42,3.82,30.85,37.26,16.47,1606428000,26-11-2020 ,22:00:00
4,473.98,3.21,11.48,0.63,3.46,30.54,36.55,14.44,1606431600,26-11-2020 ,23:00:00
4,487.33,3.47,11.14,0.63,3.55,32.32,38.33,13.43,1606435200,27-11-2020 ,0:00:00
4,527.38,5.53,10.97,0.98,3.55,33.47,39.53,10.39,1606438800,27-11-2020 ,1:00:00
4,687.6,15.2,10.2,4.11,4.35,39.61,46.9,8.36,1606442400,27-11-2020 ,2:00:00
4,934.6,25.48,16.28,10.19,5.25,49.52,58.14,9.75,1606446000,27-11-2020 ,3:00:00
2,387.19,1.98,8.14,77.25,5.54,19.62,21.71,3.36,1606449600,27-11-2020 ,4:00:00
3,367.17,1.06,5.83,104.43,6.38,20.03,21.91,3.58,1606453200,27-11-2020 ,5:00:00
3,350.48,0.57,3.94,121.59,6.56,20.57,22.32,3.39,1606456800,27-11-2020 ,6:00:00
4,427.25,0.89,6.68,124.45,7.51,27.16,29.6,5.51,1606460400,27-11-2020 ,7:00:00
4,587.46,1.41,12.51,134.47,8.94,40.21,43.88,9.25,1606464000,27-11-2020 ,8:00:00
5,727.65,1.43,19.54,145.91,11.44,52.78,57.52,13.81,1606467600,27-11-2020 ,9:00:00
5,921.25,1.09,32.9,143.05,14.78,68.93,75.12,21.53,1606471200,27-11-2020 ,10:00:00
5,1161.58,0.22,52.78,104.43,17.41,86.21,94.2,30.4,1606474800,27-11-2020 ,11:00:00
5,1375.2,0,76.77,50.07,19.31,97.13,106.88,37.49,1606478400,27-11-2020 ,12:00:00
5,1321.79,0.76,86.37,12.88,17.88,86.87,97.09,38,1606482000,27-11-2020 ,13:00:00
5,1228.33,8.05,74.71,0.5,17.64,74.41,85.44,39.01,1606485600,27-11-2020 ,14:00:00
5,1241.68,15.42,62.38,0.03,19.07,72.78,85.44,43.06,1606489200,27-11-2020 ,15:00:00
5,1281.74,19.22,54.15,0.01,20.74,74.39,88.67,48.13,1606492800,27-11-2020 ,16:00:00
5,1214.98,20.12,44.55,0.01,20.03,69.81,84.22,48.64,1606496400,27-11-2020 ,17:00:00
5,1014.71,17.66,34.27,0.02,15.74,56.18,68.95,41.54,1606500000,27-11-2020 ,18:00:00
4,827.79,15.2,25.02,0.02,9.06,45.93,56.95,27.36,1606503600,27-11-2020 ,19:00:00
4,727.65,11.85,20.39,0.05,5.9,40.99,50.62,22.04,1606507200,27-11-2020 ,20:00:00
4,647.54,8.38,18.34,0.15,4.89,37.15,45.5,22.55,1606510800,27-11-2020 ,21:00:00
4,587.46,5.42,17.65,0.32,4.53,34.03,41.21,23.56,1606514400,27-11-2020 ,22:00:00
4,567.44,4.02,16.97,0.4,4.41,33.44,40.09,23.81,1606518000,27-11-2020 ,23:00:00
4,587.46,4.47,15.77,0.27,4.59,35.58,42.17,23.56,1606521600,28-11-2020 ,0:00:00
4,607.49,5.76,14.91,0.51,4.29,36.37,42.79,19,1606525200,28-11-2020 ,1:00:00
4,727.65,12.85,12.85,1.15,4.35,40.75,47.74,12.41,1606528800,28-11-2020 ,2:00:00
4,907.9,23.25,13.37,2.28,4.65,48.85,56.71,10.01,1606532400,28-11-2020 ,3:00:00
3,453.95,1.66,11.82,46.49,5.25,23.14,25.64,4.5,1606536000,28-11-2020 ,4:00:00
3,440.6,1.08,7.63,67.95,5.54,22.7,24.81,4.24,1606539600,28-11-2020 ,5:00:00
3,403.88,0.62,4.76,90.12,5.54,21.25,23.03,3.96,1606543200,28-11-2020 ,6:00:00
3,397.21,0.52,4.33,107.29,7.03,24.35,26.23,4.94,1606546800,28-11-2020 ,7:00:00
4,467.3,0.62,5.83,120.16,8.94,31.61,33.94,6.78,1606550400,28-11-2020 ,8:00:00
4,527.38,0.69,8.05,128.75,10.85,37.95,40.66,8.61,1606554000,28-11-2020 ,9:00:00
4,667.57,0.82,18.51,133.04,13.59,48.49,52.32,16.47,1606557600,28-11-2020 ,10:00:00
5,894.55,0.2,37.7,121.59,17.41,63.59,69.08,29.64,1606561200,28-11-2020 ,11:00:00
5,1108.17,0,58.95,84.4,20.27,73.88,81,42.05,1606564800,28-11-2020 ,12:00:00
5,1134.87,0,69.92,52.93,18.84,70.9,79.06,46.1,1606568400,28-11-2020 ,13:00:00
5,1081.47,0,69.92,33.98,16.93,64.49,73.69,46.1,1606572000,28-11-2020 ,14:00:00
5,1068.12,0.01,67.17,23.25,16.45,62.9,73.61,47.62,1606575600,28-11-2020 ,15:00:00
5,1041.41,0.06,60.32,15.38,15.5,63.5,75.26,46.1,1606579200,28-11-2020 ,16:00:00
5,1001.36,0.25,54.84,10.19,14.78,62.08,74.06,46.1,1606582800,28-11-2020 ,17:00:00
5,921.25,0.55,48.67,6.44,13.35,56.4,67.45,45.6,1606586400,28-11-2020 ,18:00:00
5,867.84,1.02,45.93,3.04,12.28,52.99,63.11,48.13,1606590000,28-11-2020 ,19:00:00
5,834.47,1.48,41.81,1.45,11.68,51.53,60.95,51.17,1606593600,28-11-2020 ,20:00:00
4,754.36,1.52,35.3,1.32,10.49,47.55,55.93,50.66,1606597200,28-11-2020 ,21:00:00
4,647.54,1.26,27.08,1.57,8.7,41.37,48.7,46.1,1606600800,28-11-2020 ,22:00:00
4,580.79,1.22,21.94,1.61,7.57,37.98,44.72,43.06,1606604400,28-11-2020 ,23:00:00
4,567.44,1.79,19.36,1.13,7.51,37.67,44.18,43.06,1606608000,29-11-2020 ,0:00:00
4,554.09,3.63,15.59,1.79,6.5,36.21,42.43,34.45,1606611600,29-11-2020 ,1:00:00
4,654.22,10.39,12.17,7.6,5.07,39.49,46.35,16.21,1606615200,29-11-2020 ,2:00:00
4,827.79,14.98,17.14,18.24,4.41,47.83,55.51,9.37,1606618800,29-11-2020 ,3:00:00
2,360.49,0.95,5.01,85.12,5.31,19.63,21.59,3.55,1606622400,29-11-2020 ,4:00:00
3,357.15,0.5,3.3,108.72,5.96,20.95,22.81,3.96,1606626000,29-11-2020 ,5:00:00
3,347.14,0.32,2.44,120.16,5.84,21.38,23.13,4.05,1606629600,29-11-2020 ,6:00:00
2,310.42,0.26,1.95,110.15,4.53,16.85,18.18,3.26,1606633200,29-11-2020 ,7:00:00
2,290.39,0.26,2.04,103,3.93,14.53,15.65,3.01,1606636800,29-11-2020 ,8:00:00
2,277.04,0.24,2.23,92.98,3.13,12.48,13.48,2.79,1606640400,29-11-2020 ,9:00:00
2,373.84,0.96,10.11,60.08,3.31,15.33,17.14,6.65,1606644000,29-11-2020 ,10:00:00
3,540.73,0.66,22.96,24.68,3.76,22.11,25.13,10.51,1606647600,29-11-2020 ,11:00:00
4,687.6,3.44,30.16,3.35,3.93,28,31.95,11.78,1606651200,29-11-2020 ,12:00:00
4,734.33,11.62,23.31,0.14,3.87,30.07,34.6,10.39,1606654800,29-11-2020 ,13:00:00
4,754.36,16.99,16.45,0.03,4.83,32.35,37.92,12.16,1606658400,29-11-2020 ,14:00:00
4,774.38,19,14.05,0.01,6.56,36.45,43.53,17.23,1606662000,29-11-2020 ,15:00:00
4,754.36,17.66,13.88,0.02,7.99,38.27,46.4,23.31,1606665600,29-11-2020 ,16:00:00
4,707.63,14.98,13.2,0.04,7.51,37.21,45.7,23.05,1606669200,29-11-2020 ,17:00:00
4,620.84,11.85,12.68,0.1,5.13,33.24,41.14,17.23,1606672800,29-11-2020 ,18:00:00
4,567.44,10.06,12,0.09,3.4,30.49,37.76,12.79,1606676400,29-11-2020 ,19:00:00
4,547.41,8.61,12.17,0.16,3.52,30.05,36.91,14.31,1606680000,29-11-2020 ,20:00:00
4,514.03,5.81,13.37,0.39,3.87,28.5,34.66,17.48,1606683600,29-11-2020 ,21:00:00
4,467.3,3.05,14.74,1.02,3.99,26.13,31.66,19.25,1606687200,29-11-2020 ,22:00:00
4,447.27,1.75,14.74,1.65,3.82,25.3,30.59,17.99,1606690800,29-11-2020 ,23:00:00
4,460.63,1.9,14.05,1.59,3.73,26.54,31.95,15.33,1606694400,30-11-2020 ,0:00:00
4,487.33,3.74,13.02,1.97,3.49,27.24,32.77,10.77,1606698000,30-11-2020 ,1:00:00
4,640.87,13.08,10.8,5.59,4.23,33.15,39.89,8.74,1606701600,30-11-2020 ,2:00:00
4,867.84,21.91,16.45,12.34,5.25,43.4,51.42,10.13,1606705200,30-11-2020 ,3:00:00
2,340.46,1.52,6.51,77.96,5.72,14.99,16.72,3.2,1606708800,30-11-2020 ,4:00:00
2,327.11,0.72,4.07,101.57,5.84,15.45,16.99,3.39,1606712400,30-11-2020 ,5:00:00
2,307.08,0.37,2.46,111.58,4.83,14.2,15.51,2.85,1606716000,30-11-2020 ,6:00:00
2,267.03,0.31,2.08,105.86,4.41,11.08,12.03,2.47,1606719600,30-11-2020 ,7:00:00
2,270.37,0.38,2.68,104.43,4.83,11.03,11.94,2.82,1606723200,30-11-2020 ,8:00:00
2,277.04,0.43,3.64,103,5.19,11.03,11.97,3.2,1606726800,30-11-2020 ,9:00:00
2,373.84,0.88,11.14,82.25,6.08,14.83,16.58,6.52,1606730400,30-11-2020 ,10:00:00
3,540.73,0.36,24.68,48.64,6.5,21.8,24.86,10.26,1606734000,30-11-2020 ,11:00:00
4,680.92,0.36,35.99,17.17,6.02,27.02,31.12,12.16,1606737600,30-11-2020 ,12:00:00
4,747.68,6.09,35.99,1.42,6.8,28.97,34.3,15.83,1606741200,30-11-2020 ,13:00:00
4,821.11,15.42,29.82,0.03,10.13,33.47,41.02,23.56,1606744800,30-11-2020 ,14:00:00
4,907.9,20.34,26.39,0.01,13.23,40.04,49.8,30.91,1606748400,30-11-2020 ,15:00:00
4,961.3,22.13,23.65,0,15.5,44.87,55.91,36.48,1606752000,30-11-2020 ,16:00:00
4,907.9,20.56,20.22,0.01,14.78,43.86,55.03,36.48,1606755600,30-11-2020 ,17:00:00
4,754.36,16.76,16.28,0.02,10.73,36.22,46.34,28.88,1606759200,30-11-2020 ,18:00:00
4,620.84,13.64,11.82,0.02,4.23,29.71,38.2,10.51,1606762800,30-11-2020 ,19:00:00
4,554.09,10.84,9.68,0.05,2.56,26.99,34.38,7.73,1606766400,30-11-2020 ,20:00:00
4,500.68,7.71,9.34,0.15,2.59,25.18,31.58,9.75,1606770000,30-11-2020 ,21:00:00
3,467.3,5.09,10.28,0.37,3.04,23.81,29.57,12.67,1606773600,30-11-2020 ,22:00:00
3,467.3,3.91,11.14,0.48,3.67,24.26,29.8,15.45,1606777200,30-11-2020 ,23:00:00
4,500.68,4.81,11.31,0.27,4.65,27.04,32.87,18.75,1606780800,01-12-2020 ,0:00:00
4,540.73,7.15,11.31,0.68,5.01,28.97,35.03,17.23,1606784400,01-12-2020 ,1:00:00
4,694.28,16.99,9.34,3.49,4.95,35.05,42.27,9.88,1606788000,01-12-2020 ,2:00:00
4,921.25,27.49,13.37,7.87,5.25,44.32,52.7,8.61,1606791600,01-12-2020 ,3:00:00
2,353.81,2.1,7.88,73.67,6.5,14.76,16.52,3.23,1606795200,01-12-2020 ,4:00:00
2,347.14,1.37,6.26,94.41,7.63,17.07,18.72,3.77,1606798800,01-12-2020 ,5:00:00
3,343.8,0.83,4.71,113.01,7.57,20.56,22.13,4.02,1606802400,01-12-2020 ,6:00:00
3,350.48,0.6,3.81,113.01,7.45,22.88,24.36,4.24,1606806000,01-12-2020 ,7:00:00
4,383.85,0.77,5.27,114.44,9.78,27.39,29.06,5.26,1606809600,01-12-2020 ,8:00:00
4,420.57,0.89,7.54,114.44,11.8,31.31,33.19,6.4,1606813200,01-12-2020 ,9:00:00
4,594.14,1.75,20.05,81.54,12.04,40.92,44.21,11.02,1606816800,01-12-2020 ,10:00:00
5,881.2,0.96,41.81,32.19,10.61,55.29,60.7,15.71,1606820400,01-12-2020 ,11:00:00
5,1108.17,6.48,52.09,2.17,8.82,65.17,72.56,17.99,1606824000,01-12-2020 ,12:00:00
5,1108.17,19,43.87,0.02,9.18,61.48,70.14,21.28,1606827600,01-12-2020 ,13:00:00
5,1081.47,24.59,38.39,0,12.04,56.83,66.89,28.12,1606831200,01-12-2020 ,14:00:00
5,1081.47,25.71,35.64,0,14.31,56,68.04,33.95,1606834800,01-12-2020 ,15:00:00
5,1081.47,24.81,33.59,0,15.97,56.02,69.23,38.51,1606838400,01-12-2020 ,16:00:00
5,1014.71,22.13,30.85,0.01,15.74,52.74,66.07,40.53,1606842000,01-12-2020 ,17:00:00
4,867.84,17.88,27.08,0.02,13.11,44.44,56.49,36.48,1606845600,01-12-2020 ,18:00:00
4,747.68,15.2,21.25,0.02,7.33,38,48.54,21.53,1606849200,01-12-2020 ,19:00:00
4,674.25,12.29,16.79,0.05,4.65,34.9,44.16,15.45,1606852800,01-12-2020 ,20:00:00
4,600.82,8.94,14.57,0.12,3.93,31.71,39.58,15.33,1606856400,01-12-2020 ,21:00:00
4,547.41,6.04,13.88,0.24,3.87,28.93,35.74,16.47,1606860000,01-12-2020 ,22:00:00
4,527.38,4.86,13.37,0.3,4.29,28.51,34.86,18.75,1606863600,01-12-2020 ,23:00:00
4,547.41,5.48,13.02,0.21,5.25,30.52,36.93,22.04,1606867200,02-12-2020 ,0:00:00
4,587.46,7.6,13.02,0.62,5.78,31.85,38.37,21.28,1606870800,02-12-2020 ,1:00:00
4,754.36,18.55,10.03,3.26,5.6,38.78,46.52,12.41,1606874400,02-12-2020 ,2:00:00
4,1001.36,31.29,12.34,6.35,5.66,50,58.91,9.12,1606878000,02-12-2020 ,3:00:00
3,397.21,2.46,8.57,69.38,7.51,20.08,22.18,3.71,1606881600,02-12-2020 ,4:00:00
3,390.53,1.45,6.34,90.12,8.23,23.18,25.11,4.24,1606885200,02-12-2020 ,5:00:00
4,383.85,0.72,3.98,105.86,7.75,26.32,28.08,4.37,1606888800,02-12-2020 ,6:00:00
2,307.08,0.44,2.36,90.84,6.08,18.53,19.62,3.01,1606892400,02-12-2020 ,7:00:00
2,307.08,0.48,2.79,90.12,6.5,17.93,19.01,3.29,1606896000,02-12-2020 ,8:00:00
2,320.44,0.56,3.94,90.12,7.21,18.65,19.83,3.86,1606899600,02-12-2020 ,9:00:00
4,494,1.84,16.62,62.23,8.35,26.24,28.83,8.99,1606903200,02-12-2020 ,10:00:00
4,787.74,1.66,40.1,20.39,9.42,39.55,44.31,15.33,1606906800,02-12-2020 ,11:00:00
5,1094.82,11.4,52.09,0.45,10.61,52.75,59.96,21.79,1606910400,02-12-2020 ,12:00:00
5,1188.28,23.92,49.35,0.01,12.16,58.28,67.64,28.12,1606914000,02-12-2020 ,13:00:00
5,1214.98,28.39,47.98,0,14.9,61.04,72.62,34.96,1606917600,02-12-2020 ,14:00:00
5,1255.04,29.06,47.3,0,17.41,64.97,79.34,41.04,1606921200,02-12-2020 ,15:00:00
5,1255.04,27.05,45.93,0,18.84,67.25,83.36,45.6,1606924800,02-12-2020 ,16:00:00
5,1174.93,24.14,40.44,0.01,17.88,64.28,80.86,45.09,1606928400,02-12-2020 ,17:00:00
5,988.01,19.89,31.53,0.01,13.83,54.49,69.44,36.99,1606932000,02-12-2020 ,18:00:00
4,827.79,16.99,21.59,0.01,7.63,46.94,60.03,22.55,1606935600,02-12-2020 ,19:00:00
4,734.33,14.53,15.08,0.01,5.01,43.1,54.55,16.47,1606939200,02-12-2020 ,20:00:00
4,640.87,11.29,11.31,0.03,4.05,38.6,48.19,15.2,1606942800,02-12-2020 ,21:00:00
4,554.09,8.16,9.25,0.06,3.67,34.02,41.87,14.82,1606946400,02-12-2020 ,22:00:00
4,514.03,6.71,8.31,0.08,3.79,32.49,39.53,15.45,1606950000,02-12-2020 ,23:00:00
4,534.06,7.38,7.8,0.06,4.35,34.23,41.09,16.97,1606953600,03-12-2020 ,0:00:00
4,547.41,9.5,7.03,0.2,4.41,34.21,40.9,13.93,1606957200,03-12-2020 ,1:00:00
4,680.92,18.77,5.83,1.7,4.41,38.26,45.76,7.85,1606960800,03-12-2020 ,2:00:00
4,881.2,30.4,9.08,4.56,4.71,45.02,53.23,6.78,1606964400,03-12-2020 ,3:00:00
2,317.1,1.82,5.48,53.64,4.59,15.66,17.11,2.31,1606968000,03-12-2020 ,4:00:00
2,297.07,0.95,3.68,70.1,4.77,15.32,16.5,2.5,1606971600,03-12-2020 ,5:00:00
2,290.39,0.55,2.72,82.97,4.95,16.01,17.09,2.63,1606975200,03-12-2020 ,6:00:00
3,363.83,1.05,5.31,86.55,6.5,21.91,23.57,4.75,1606978800,03-12-2020 ,7:00:00
4,500.68,1.9,10.63,92.98,8.94,33.61,36.32,7.92,1606982400,03-12-2020 ,8:00:00
4,614.17,2.18,16.11,95.84,11.33,44.14,47.69,10.51,1606986000,03-12-2020 ,9:00:00
5,794.41,2.26,28.45,80.11,13.59,57.59,62.48,15.71,1606989600,03-12-2020 ,10:00:00
5,1068.12,0.66,51.41,41.49,15.26,74.2,80.96,23.05,1606993200,03-12-2020 ,11:00:00
5,1335.14,3.33,74.71,6.35,17.17,87.27,96.06,31.92,1606996800,03-12-2020 ,12:00:00
5,1401.9,16.76,71.29,0.04,17.41,88.59,99.36,36.48,1607000400,03-12-2020 ,13:00:00
5,1388.55,25.26,59.63,0,17.17,87.13,100.11,36.99,1607004000,03-12-2020 ,14:00:00
5,1361.85,29.06,50.04,0,16.93,87.22,102.88,38,1607007600,03-12-2020 ,15:00:00
5,1308.44,29.5,39.07,0,15.26,85.68,102.73,34.96,1607011200,03-12-2020 ,16:00:00
5,1148.22,26.82,25.71,0,10.37,75.39,92.21,23.56,1607014800,03-12-2020 ,17:00:00
5,907.9,21.46,15.94,0,5.25,57.66,71.68,11.91,1607018400,03-12-2020 ,18:00:00
4,720.98,17.21,10.88,0.01,2.77,44.51,55.39,7.73,1607022000,03-12-2020 ,19:00:00
4,627.52,13.75,8.82,0.02,2.71,38.81,47.94,9.63,1607025600,03-12-2020 ,20:00:00
4,567.44,10.84,8.14,0.03,3.28,35.19,43.16,13.55,1607029200,03-12-2020 ,21:00:00
4,520.71,8.27,8.31,0.05,3.82,32.41,39.5,16.97,1607032800,03-12-2020 ,22:00:00
4,500.68,7.04,8.05,0.06,3.99,31.72,38.41,17.23,1607036400,03-12-2020 ,23:00:00
4,520.71,7.71,7.37,0.05,4.05,33.38,40.01,15.96,1607040000,04-12-2020 ,0:00:00
4,554.09,9.95,6.94,0.17,3.79,34.03,40.48,11.27,1607043600,04-12-2020 ,1:00:00
4,714.3,20.12,6.17,1.48,4.17,39.86,47.25,6.84,1607047200,04-12-2020 ,2:00:00
4,961.3,33.98,8.91,3.58,4.71,49.6,58.15,6.02,1607050800,04-12-2020 ,3:00:00
2,330.45,2.07,5.83,45.78,4.71,16.83,18.27,2.22,1607054400,04-12-2020 ,4:00:00
2,310.42,0.96,3.73,62.23,4.41,16.02,17.2,2.47,1607058000,04-12-2020 ,5:00:00
2,303.75,0.5,2.53,75.1,4.17,16.23,17.32,2.6,1607061600,04-12-2020 ,6:00:00
2,297.07,0.38,2.14,77.96,4.41,15.12,16.07,2.57,1607065200,04-12-2020 ,7:00:00
2,300.41,0.43,2.68,81.54,5.25,15.5,16.48,2.98,1607068800,04-12-2020 ,8:00:00
2,313.76,0.47,3.68,84.4,6.2,16.5,17.56,3.58,1607072400,04-12-2020 ,9:00:00
3,494,1.84,17.31,56.51,7.57,24.28,26.81,8.74,1607076000,04-12-2020 ,10:00:00
4,807.76,2.85,40.44,14.13,8.46,37.96,42.85,14.57,1607079600,04-12-2020 ,11:00:00
5,1094.82,16.54,44.55,0.07,8.7,50.86,58.26,19,1607083200,04-12-2020 ,12:00:00
5,1255.04,32.19,37.01,0,8.58,60.08,69.8,21.03,1607086800,04-12-2020 ,13:00:00
5,1348.5,41.13,29.13,0,8.23,68.26,80.41,19.51,1607090400,04-12-2020 ,14:00:00
5,1401.9,44.26,23.65,0,7.57,75.97,90.81,15.2,1607094000,04-12-2020 ,15:00:00
5,1401.9,44.26,19.02,0,7.27,79.8,96.61,13.81,1607097600,04-12-2020 ,16:00:00
5,1308.44,41.57,15.94,0,8.7,77.72,95.23,18.75,1607101200,04-12-2020 ,17:00:00
5,1121.52,35.32,14.74,0,9.06,66.46,83.04,23.31,1607104800,04-12-2020 ,18:00:00
5,988.01,30.4,15.42,0,8.94,57.71,72.66,28.88,1607108400,04-12-2020 ,19:00:00
5,881.2,24.81,15.08,0,8.35,51.38,64.59,32.42,1607112000,04-12-2020 ,20:00:00
4,734.33,18.33,14.05,0.01,7.21,43.74,54.39,32.93,1607115600,04-12-2020 ,21:00:00
4,614.17,12.52,12.85,0.02,6.14,36.97,45.41,31.41,1607119200,04-12-2020 ,22:00:00
4,567.44,9.72,12,0.03,5.72,34.46,41.79,31.16,1607122800,04-12-2020 ,23:00:00
4,567.44,9.39,11.48,0.02,6.14,35.66,42.65,33.44,1607126400,05-12-2020 ,0:00:00
4,574.11,10.06,10.28,0.2,5.9,35.53,42.05,29.13,1607130000,05-12-2020 ,1:00:00
4,660.9,17.21,6.94,1.95,4.65,38.68,45.49,13.3,1607133600,05-12-2020 ,2:00:00
4,821.11,25.93,8.31,4.69,3.93,45.04,52.25,6.65,1607137200,05-12-2020 ,3:00:00
2,320.44,1.5,4.54,51.5,4.59,17.78,19.08,2.38,1607140800,05-12-2020 ,4:00:00
2,310.42,0.73,2.91,67.95,4.89,18.6,19.73,2.69,1607144400,05-12-2020 ,5:00:00
3,317.1,0.4,1.99,80.11,5.31,20.29,21.38,2.95,1607148000,05-12-2020 ,6:00:00
2,303.75,0.29,1.59,82.97,4.95,19.89,20.88,2.79,1607151600,05-12-2020 ,7:00:00
3,303.75,0.33,1.97,88.69,5.07,21.07,22.11,3.01,1607155200,05-12-2020 ,8:00:00
3,310.42,0.35,2.7,90.12,5.31,22.14,23.32,3.29,1607158800,05-12-2020 ,9:00:00
4,440.6,1.16,12.34,63.66,6.08,28.2,30.46,8.04,1607162400,05-12-2020 ,10:00:00
4,660.9,0.58,29.13,27.18,6.56,38.35,42.26,13.17,1607166000,05-12-2020 ,11:00:00
4,894.55,3.97,41.47,3.4,6.68,48.99,54.83,17.48,1607169600,05-12-2020 ,12:00:00
5,1094.82,15.87,39.76,0.04,6.68,58.35,66.22,20.27,1607173200,05-12-2020 ,13:00:00
5,1214.98,23.47,37.01,0.01,7.57,67.22,77.43,23.56,1607176800,05-12-2020 ,14:00:00
5,1268.39,25.03,35.99,0.01,9.42,74.63,87.52,28.12,1607180400,05-12-2020 ,15:00:00
5,1308.44,24.36,35.64,0.01,11.68,82.26,97.49,34.96,1607184000,05-12-2020 ,16:00:00
5,1321.79,24.14,33.93,0,12.52,87.54,104.17,38,1607187600,05-12-2020 ,17:00:00
5,1241.68,23.25,30.5,0,10.97,85.54,102.17,36.48,1607191200,05-12-2020 ,18:00:00
5,1094.82,19.45,27.76,0.01,8.82,78.97,94.21,33.95,1607194800,05-12-2020 ,19:00:00
